Midpoint Method,,
E_c,E_p,E_m
37.092,0.847,37.940
37.357,0.582,37.940
37.573,0.366,37.940
37.740,0.200,37.940
37.857,0.083,37.940
37.923,0.017,37.940
37.939,0.001,37.940
37.904,0.036,37.940
37.818,0.121,37.940
37.683,0.257,37.940
37.497,0.442,37.940
37.262,0.677,37.940
36.979,0.961,37.940
36.648,1.291,37.940
36.271,1.669,37.940
35.848,2.092,37.940
35.381,2.559,37.940
34.871,3.068,37.940
34.321,3.619,37.940
33.730,4.209,37.940
33.103,4.837,37.940
32.440,5.500,37.940
31.743,6.197,37.940
31.015,6.924,37.940
30.258,7.681,37.940
29.475,8.465,37.940
28.667,9.273,37.940
27.837,10.103,37.940
26.988,10.952,37.940
26.122,11.818,37.940
25.242,12.698,37.940
24.351,13.589,37.940
23.452,14.488,37.940
22.546,15.394,37.940
21.638,16.302,37.940
20.729,17.211,37.940
19.822,18.117,37.940
18.921,19.019,37.940
18.027,19.912,37.940
17.144,20.795,37.940
16.274,21.666,37.940
15.419,22.520,37.940
14.583,23.357,37.940
13.766,24.173,37.940
12.973,24.967,37.940
12.203,25.736,37.940
11.461,26.479,37.940
10.747,27.193,37.940
10.064,27.876,37.940
9.412,28.527,37.940
8.794,29.145,37.940
8.211,29.729,37.940
7.663,30.277,37.940
7.152,30.788,37.940
6.678,31.262,37.940
6.241,31.698,37.940
5.842,32.097,37.940
5.481,32.458,37.939
5.157,32.782,37.939
4.870,33.070,37.939
4.618,33.322,37.939
4.401,33.539,37.939
4.217,33.722,37.939
4.066,33.873,37.939
3.945,33.994,37.939
3.855,34.084,37.939
3.792,34.147,37.939
3.758,34.181,37.939
3.751,34.188,37.939
3.771,34.168,37.939
3.818,34.121,37.939
3.894,34.045,37.939
3.999,33.940,37.939
4.134,33.805,37.939
4.300,33.639,37.939
4.499,33.440,37.939
4.733,33.206,37.939
5.002,32.938,37.939
5.306,32.633,37.939
5.648,32.291,37.940
6.027,31.912,37.940
6.444,31.496,37.940
6.898,31.041,37.940
7.390,30.550,37.940
7.919,30.021,37.940
8.483,29.456,37.940
9.083,28.856,37.940
9.718,28.222,37.940
10.384,27.556,37.940
11.082,26.857,37.940
11.810,26.130,37.940
12.565,25.375,37.940
13.346,24.593,37.940
14.151,23.789,37.940
14.978,22.962,37.940
15.823,22.117,37.940
16.686,21.254,37.940
17.562,20.378,37.940
18.451,19.489,37.940
19.348,18.592,37.940
20.252,17.688,37.940
21.160,16.780,37.940
22.069,15.871,37.940
22.977,14.963,37.940
23.880,14.060,37.940
24.776,13.164,37.940
25.662,12.278,37.940
26.535,11.405,37.940
27.393,10.547,37.940
28.233,9.707,37.940
29.053,8.887,37.940
29.850,8.090,37.940
30.621,7.319,37.940
31.365,6.575,37.940
32.078,5.862,37.940
32.759,5.181,37.940
33.406,4.534,37.940
34.016,3.924,37.940
34.587,3.353,37.940
35.119,2.821,37.940
35.608,2.332,37.940
36.055,1.885,37.940
36.456,1.484,37.940
36.812,1.128,37.940
37.120,0.820,37.940
37.380,0.560,37.940
37.592,0.348,37.940
37.754,0.186,37.940
37.866,0.074,37.940
37.927,0.013,37.940
37.938,0.002,37.940
37.898,0.042,37.940
37.808,0.132,37.940
37.668,0.272,37.940
37.477,0.463,37.940
37.238,0.702,37.940
36.950,0.990,37.940
36.615,1.325,37.940
36.233,1.707,37.940
35.806,2.134,37.940
35.335,2.606,37.940
34.821,3.119,37.940
34.267,3.674,37.940
33.673,4.267,37.940
33.042,4.898,37.940
32.375,5.565,37.940
31.676,6.264,37.940
30.945,6.995,37.940
30.185,7.755,37.940
29.399,8.541,37.940
28.589,9.351,37.940
27.757,10.183,37.940
26.906,11.034,37.940
26.039,11.901,37.940
25.158,12.782,37.940
24.266,13.674,37.940
23.366,14.574,37.940
22.460,15.480,37.940
21.551,16.389,37.940
20.643,17.298,37.940
19.737,18.204,37.940
18.836,19.104,37.940
17.943,19.997,37.940
17.061,20.879,37.940
16.192,21.748,37.940
15.339,22.601,37.940
14.504,23.436,37.940
13.690,24.250,37.940
12.898,25.042,37.940
12.132,25.809,37.940
11.392,26.548,37.940
10.681,27.259,37.940
10.000,27.940,37.940
9.352,28.588,37.940
8.737,29.203,37.940
8.157,29.783,37.940
7.613,30.327,37.940
7.105,30.835,37.940
6.635,31.305,37.940
6.202,31.738,37.940
5.807,32.133,37.940
5.449,32.491,37.940
5.128,32.812,37.940
4.844,33.096,37.940
4.596,33.344,37.940
4.382,33.558,37.940
4.201,33.738,37.940
4.053,33.887,37.940
3.935,34.004,37.940
3.847,34.092,37.939
3.788,34.152,37.939
3.756,34.183,37.939
3.752,34.188,37.939
3.774,34.165,37.939
3.824,34.115,37.939
3.903,34.037,37.940
4.010,33.929,37.940
4.148,33.792,37.940
4.318,33.622,37.940
4.520,33.420,37.940
4.757,33.183,37.940
5.029,32.911,37.940
5.337,32.603,37.940
5.683,32.258,37.940
6.065,31.875,37.940
6.486,31.455,37.940
6.944,30.997,37.940
7.439,30.501,37.940
7.971,29.969,37.940
8.539,29.401,37.940
9.142,28.798,37.940
9.780,28.161,37.940
10.449,27.491,37.940
11.150,26.790,37.940
11.881,26.060,37.940
12.639,25.302,37.940
13.422,24.518,37.940
14.229,23.711,37.940
15.057,22.883,37.940
15.905,22.036,37.940
16.769,21.172,37.940
17.646,20.294,37.940
18.536,19.405,37.940
19.434,18.506,37.940
20.339,17.602,37.940
21.247,16.694,37.940
22.156,15.785,37.940
23.063,14.877,37.941
23.966,13.975,37.941
24.861,13.080,37.941
25.746,12.195,37.941
26.618,11.323,37.941
27.474,10.466,37.941
28.313,9.628,37.941
29.130,8.810,37.941
29.925,8.016,37.941
30.694,7.247,37.941
31.435,6.506,37.941
32.145,5.796,37.941
32.823,5.118,37.941
33.466,4.475,37.941
34.072,3.868,37.941
34.640,3.301,37.941
35.168,2.773,37.941
35.653,2.287,37.941
36.095,1.845,37.941
36.492,1.448,37.941
36.844,1.097,37.941
37.147,0.793,37.941
37.403,0.537,37.941
37.610,0.331,37.941
37.767,0.173,37.941
37.874,0.066,37.941
37.931,0.010,37.941
37.937,0.004,37.941
37.892,0.048,37.941
37.797,0.143,37.941
37.652,0.288,37.941
37.457,0.483,37.941
37.213,0.727,37.941
36.921,1.020,37.941
36.581,1.360,37.941
36.195,1.746,37.941
35.763,2.177,37.941
35.288,2.653,37.941
34.770,3.170,37.941
34.212,3.729,37.941
33.615,4.326,37.941
32.980,4.960,37.941
32.311,5.630,37.941
31.608,6.333,37.941
30.874,7.066,37.941
30.112,7.829,37.941
29.323,8.617,37.941
28.511,9.430,37.941
27.677,10.263,37.941
26.825,11.116,37.941
25.956,11.985,37.941
25.074,12.867,37.941
24.181,13.760,37.941
23.280,14.661,37.941
22.374,15.567,37.941
21.465,16.476,37.941
20.557,17.384,37.941
19.651,18.290,37.941
18.751,19.190,37.941
17.859,20.082,37.941
16.978,20.963,37.941
16.111,21.830,37.941
15.259,22.682,37.941
14.426,23.515,37.941
13.614,24.327,37.941
12.824,25.116,37.941
12.060,25.881,37.941
11.323,26.618,37.941
10.615,27.326,37.941
9.937,28.003,37.941
9.292,28.648,37.941
8.681,29.260,37.941
8.104,29.837,37.941
7.563,30.378,37.941
7.059,30.882,37.941
6.592,31.349,37.941
6.163,31.778,37.941
5.771,32.170,37.941
5.417,32.524,37.940
5.100,32.841,37.940
4.819,33.121,37.940
4.574,33.366,37.940
4.363,33.577,37.940
4.186,33.754,37.940
4.040,33.900,37.940
3.926,34.014,37.940
3.840,34.099,37.940
3.784,34.156,37.940
3.754,34.185,37.940
3.752,34.187,37.940
3.778,34.162,37.940
3.831,34.109,37.940
3.912,34.028,37.940
4.022,33.918,37.940
4.163,33.777,37.940
4.335,33.605,37.940
4.541,33.399,37.940
4.781,33.159,37.940
5.057,32.884,37.940
5.369,32.572,37.941
5.717,32.223,37.941
6.104,31.837,37.941
6.528,31.413,37.941
6.989,30.952,37.941
7.488,30.453,37.941
8.024,29.917,37.941
8.595,29.346,37.941
9.202,28.739,37.941
9.842,28.099,37.941
10.515,27.426,37.941
11.219,26.722,37.941
11.952,25.989,37.941
12.712,25.229,37.941
13.498,24.443,37.941
14.307,23.634,37.941
15.138,22.803,37.941
15.986,21.954,37.941
16.852,21.089,37.941
17.731,20.210,37.941
18.621,19.320,37.941
19.520,18.421,37.941
20.425,17.516,37.941
21.334,16.607,37.941
22.243,15.698,37.941
23.150,14.791,37.941
24.051,13.890,37.941
24.946,12.995,37.941
25.829,12.112,37.941
26.700,11.241,37.941
27.555,10.386,37.941
28.392,9.549,37.941
29.207,8.734,37.941
30.000,7.941,37.941
30.766,7.175,37.941
31.504,6.437,37.941
32.211,5.730,37.941
32.886,5.055,37.941
33.526,4.416,37.941
34.128,3.813,37.941
34.693,3.249,37.941
35.216,2.725,37.941
35.698,2.243,37.941
36.135,1.806,37.941
36.528,1.413,37.941
36.875,1.066,37.941
37.174,0.767,37.941
37.425,0.516,37.941
37.628,0.314,37.941
37.780,0.161,37.941
37.882,0.059,37.941
37.934,0.007,37.941
37.935,0.006,37.941
37.886,0.055,37.941
37.786,0.155,37.941
37.636,0.305,37.941
37.437,0.505,37.941
37.188,0.753,37.941
36.891,1.050,37.941
36.547,1.395,37.941
36.156,1.785,37.941
35.720,2.221,37.941
35.241,2.700,37.941
34.719,3.222,37.941
34.157,3.784,37.941
33.556,4.385,37.941
32.918,5.023,37.941
32.246,5.696,37.941
31.540,6.401,37.941
30.803,7.138,37.941
30.038,7.903,37.941
29.247,8.694,37.941
28.433,9.508,37.941
27.597,10.344,37.941
26.743,11.198,37.941
25.873,12.068,37.941
24.990,12.952,37.941
24.096,13.845,37.941
23.194,14.747,37.941
22.288,15.653,37.941
21.379,16.562,37.941
20.470,17.471,37.941
19.565,18.376,37.941
18.666,19.276,37.941
17.775,20.166,37.941
16.895,21.046,37.941
16.029,21.912,37.941
15.179,22.762,37.941
14.348,23.593,37.941
13.538,24.403,37.941
12.751,25.191,37.941
11.989,25.952,37.941
11.254,26.687,37.941
10.549,27.392,37.941
9.875,28.067,37.941
9.233,28.709,37.941
8.624,29.317,37.941
8.051,29.890,37.941
7.514,30.428,37.941
7.013,30.928,37.941
6.550,31.392,37.941
6.124,31.817,37.941
5.736,32.205,37.941
5.385,32.556,37.941
5.071,32.870,37.941
4.794,33.147,37.941
4.552,33.388,37.941
4.345,33.596,37.941
4.171,33.770,37.941
4.028,33.912,37.941
3.916,34.024,37.941
3.834,34.107,37.940
3.780,34.161,37.940
3.753,34.187,37.940
3.754,34.187,37.940
3.782,34.159,37.940
3.837,34.103,37.940
3.921,34.020,37.941
4.034,33.907,37.941
4.178,33.763,37.941
4.354,33.587,37.941
4.563,33.378,37.941
4.806,33.135,37.941
5.085,32.856,37.941
5.400,32.541,37.941
5.753,32.188,37.941
6.142,31.799,37.941
6.570,31.371,37.941
7.035,30.906,37.941
7.537,30.404,37.941
8.076,29.865,37.941
8.651,29.290,37.941
9.261,28.680,37.941
9.905,28.036,37.941
10.581,27.361,37.941
11.288,26.654,37.941
12.023,25.918,37.941
12.786,25.155,37.941
13.574,24.367,37.941
14.386,23.556,37.941
15.218,22.724,37.941
16.068,21.873,37.941
16.935,21.006,37.941
17.816,20.126,37.942
18.707,19.235,37.942
19.607,18.335,37.942
20.512,17.429,37.942
21.421,16.521,37.942
22.330,15.612,37.942
23.236,14.706,37.942
24.137,13.804,37.942
25.031,12.911,37.942
25.913,12.028,37.942
26.783,11.159,37.942
27.636,10.305,37.942
28.471,9.471,37.942
29.284,8.657,37.942
30.074,7.867,37.942
30.838,7.104,37.942
31.573,6.369,37.942
32.277,5.664,37.942
32.949,4.993,37.942
33.585,4.357,37.942
34.184,3.757,37.942
34.745,3.197,37.942
35.264,2.677,37.942
35.742,2.200,37.942
36.175,1.766,37.942
36.564,1.378,37.942
36.906,1.036,37.942
37.201,0.741,37.942
37.447,0.494,37.942
37.645,0.297,37.942
37.792,0.149,37.942
37.890,0.052,37.942
37.937,0.005,37.942
37.933,0.008,37.942
37.879,0.062,37.942
37.775,0.167,37.942
37.620,0.322,37.942
37.416,0.526,37.942
37.162,0.779,37.942
36.861,1.081,37.942
36.512,1.430,37.942
36.117,1.825,37.942
35.677,2.265,37.942
35.194,2.748,37.942
34.668,3.274,37.942
34.102,3.840,37.942
33.498,4.444,37.942
32.856,5.085,37.942
32.180,5.762,37.942
31.471,6.470,37.942
30.732,7.210,37.942
29.964,7.977,37.942
29.171,8.771,37.942
28.354,9.587,37.942
27.517,10.425,37.942
26.661,11.281,37.942
25.790,12.152,37.942
24.905,13.036,37.942
24.011,13.931,37.942
23.108,14.833,37.942
22.202,15.740,37.942
21.293,16.649,37.942
20.384,17.558,37.942
19.479,18.462,37.942
18.581,19.361,37.942
17.691,20.251,37.942
16.812,21.130,37.942
15.947,21.994,37.942
15.099,22.842,37.942
14.270,23.672,37.942
13.462,24.480,37.942
12.677,25.265,37.942
11.918,26.024,37.942
11.186,26.756,37.942
10.484,27.458,37.942
9.812,28.130,37.942
9.173,28.769,37.942
8.568,29.374,37.942
7.998,29.943,37.942
7.464,30.477,37.942
6.967,30.974,37.942
6.507,31.434,37.942
6.085,31.856,37.942
5.701,32.241,37.942
5.353,32.588,37.941
5.043,32.898,37.941
4.770,33.172,37.941
4.531,33.410,37.941
4.327,33.614,37.941
4.156,33.785,37.941
4.016,33.925,37.941
3.907,34.034,37.941
3.827,34.114,37.941
3.776,34.165,37.941
3.752,34.189,37.941
3.755,34.186,37.941
3.786,34.155,37.941
3.844,34.097,37.941
3.930,34.011,37.941
4.046,33.895,37.941
4.193,33.748,37.941
4.372,33.569,37.941
4.584,33.357,37.941
4.831,33.110,37.941
5.113,32.828,37.941
5.432,32.509,37.942
5.788,32.153,37.942
6.182,31.760,37.942
6.613,31.329,37.942
7.081,30.860,37.942
7.587,30.354,37.942
8.130,29.812,37.942
8.708,29.234,37.942
9.321,28.620,37.942
9.968,27.974,37.942
10.647,27.295,37.942
11.357,26.585,37.942
12.095,25.847,37.942
12.861,25.081,37.942
13.651,24.291,37.942
14.464,23.478,37.942
15.298,22.644,37.942
16.151,21.791,37.942
17.019,20.923,37.942
17.900,20.042,37.942
18.793,19.149,37.942
19.693,18.249,37.942
20.599,17.343,37.942
21.508,16.434,37.942
22.416,15.526,37.942
23.323,14.620,37.942
24.223,13.719,37.942
25.116,12.826,37.942
25.997,11.945,37.942
26.865,11.077,37.942
27.717,10.225,37.942
28.550,9.392,37.942
29.361,8.581,37.942
30.149,7.793,37.942
30.910,7.032,37.942
31.642,6.300,37.942
32.343,5.599,37.942
33.011,4.931,37.942
33.644,4.298,37.942
34.240,3.702,37.942
34.796,3.146,37.942
35.312,2.630,37.942
35.786,2.157,37.942
36.215,1.727,37.942
36.599,1.343,37.942
36.937,1.005,37.942
37.227,0.715,37.942
37.469,0.473,37.942
37.662,0.281,37.942
37.804,0.138,37.942
37.897,0.045,37.942
37.939,0.003,37.942
37.931,0.011,37.942
37.872,0.070,37.942
37.763,0.180,37.942
37.603,0.339,37.942
37.394,0.548,37.942
37.136,0.806,37.942
36.830,1.112,37.942
36.477,1.466,37.942
36.077,1.865,37.942
35.633,2.309,37.942
35.146,2.796,37.942
34.616,3.326,37.942
34.047,3.896,37.942
33.438,4.504,37.942
32.794,5.149,37.942
32.114,5.828,37.942
31.402,6.540,37.942
30.660,7.282,37.942
29.890,8.052,37.942
29.095,8.848,37.942
28.276,9.667,37.942
27.436,10.506,37.942
26.579,11.363,37.942
25.706,12.236,37.942
24.821,13.122,37.942
23.925,14.017,37.942
23.022,14.920,37.942
22.115,15.827,37.942
21.206,16.736,37.942
20.298,17.644,37.942
19.394,18.549,37.942
18.496,19.447,37.942
17.607,20.336,37.942
16.729,21.213,37.942
15.866,22.076,37.942
15.020,22.923,37.942
14.192,23.750,37.942
13.386,24.556,37.942
12.604,25.339,37.942
11.847,26.095,37.942
11.118,26.824,37.942
10.418,27.524,37.942
9.750,28.192,37.942
9.114,28.828,37.942
8.512,29.430,37.942
7.946,29.996,37.942
7.415,30.527,37.942
6.922,31.020,37.942
6.466,31.477,37.942
6.047,31.895,37.942
5.666,32.276,37.942
5.322,32.620,37.942
5.016,32.926,37.942
4.745,33.197,37.942
4.510,33.432,37.942
4.309,33.633,37.942
4.141,33.801,37.942
4.005,33.937,37.942
3.898,34.043,37.942
3.821,34.120,37.942
3.772,34.169,37.941
3.751,34.190,37.941
3.757,34.185,37.941
3.790,34.152,37.942
3.851,34.091,37.942
3.940,34.001,37.942
4.059,33.883,37.942
4.209,33.733,37.942
4.391,33.551,37.942
4.606,33.336,37.942
4.856,33.085,37.942
5.142,32.800,37.942
5.465,32.477,37.942
5.824,32.118,37.942
6.221,31.721,37.942
6.656,31.286,37.942
7.128,30.814,37.942
7.638,30.305,37.942
8.184,29.759,37.942
8.765,29.177,37.942
9.382,28.561,37.942
10.032,27.911,37.942
10.714,27.229,37.942
11.426,26.516,37.942
12.167,25.775,37.942
12.935,25.007,37.942
13.728,24.215,37.942
14.543,23.399,37.942
15.379,22.563,37.942
16.233,21.709,37.943
17.103,20.840,37.943
17.985,19.957,37.943
18.878,19.064,37.943
19.780,18.163,37.943
20.686,17.257,37.943
21.595,16.348,37.943
22.503,15.439,37.943
23.409,14.533,37.943
24.309,13.633,37.943
25.201,12.742,37.943
26.081,11.862,37.943
26.948,10.995,37.943
27.798,10.145,37.943
28.629,9.314,37.943
29.438,8.505,37.943
30.223,7.720,37.943
30.981,6.961,37.943
31.711,6.232,37.943
32.409,5.534,37.943
33.074,4.869,37.943
33.703,4.239,37.943
34.295,3.647,37.943
34.848,3.095,37.943
35.360,2.583,37.943
35.829,2.114,37.943
36.254,1.689,37.943
36.634,1.309,37.943
36.967,0.976,37.943
37.253,0.690,37.943
37.490,0.453,37.943
37.678,0.265,37.943
37.816,0.127,37.943
37.904,0.039,37.943
37.941,0.001,37.943
37.928,0.015,37.943
37.864,0.079,37.943
37.750,0.193,37.943
37.586,0.357,37.943
37.372,0.571,37.943
37.109,0.833,37.943
36.799,1.144,37.943
36.441,1.502,37.943
36.037,1.905,37.943
35.589,2.354,37.943
35.097,2.845,37.943
34.564,3.379,37.943
33.991,3.952,37.943
33.379,4.564,37.943
32.731,5.212,37.943
32.048,5.895,37.943
31.333,6.609,37.943
30.588,7.354,37.943
29.816,8.127,37.943
29.018,8.925,37.943
28.197,9.746,37.943
27.356,10.587,37.943
26.497,11.446,37.943
25.622,12.320,37.943
24.736,13.207,37.943
23.840,14.103,37.943
22.936,15.007,37.943
22.029,15.914,37.943
21.120,16.823,37.943
20.212,17.731,37.943
19.308,18.635,37.943
18.410,19.532,37.943
17.522,20.420,37.943
16.646,21.297,37.943
15.785,22.158,37.943
14.940,23.003,37.943
14.114,23.828,37.943
13.310,24.632,37.943
12.530,25.412,37.943
11.776,26.167,37.943
11.050,26.893,37.943
10.353,27.590,37.943
9.688,28.255,37.943
9.055,28.887,37.943
8.457,29.486,37.943
7.894,30.049,37.943
7.367,30.576,37.943
6.877,31.066,37.943
6.424,31.519,37.943
6.009,31.934,37.943
5.632,32.311,37.943
5.291,32.651,37.942
4.988,32.954,37.942
4.721,33.221,37.942
4.489,33.453,37.942
4.292,33.651,37.942
4.127,33.815,37.942
3.993,33.949,37.942
3.890,34.052,37.942
3.816,34.126,37.942
3.769,34.173,37.942
3.750,34.191,37.942
3.759,34.183,37.942
3.795,34.147,37.942
3.858,34.084,37.942
3.950,33.992,37.942
4.072,33.870,37.942
4.225,33.717,37.942
4.410,33.532,37.942
4.629,33.314,37.942
4.882,33.060,37.942
5.171,32.771,37.942
5.497,32.445,37.943
5.860,32.082,37.943
6.261,31.682,37.943
6.699,31.243,37.943
7.175,30.767,37.943
7.688,30.255,37.943
8.238,29.705,37.943
8.823,29.120,37.943
9.442,28.500,37.943
10.095,27.847,37.943
10.780,27.162,37.943
11.496,26.447,37.943
12.239,25.703,37.943
13.010,24.933,37.943
13.805,24.138,37.943
14.622,23.321,37.943
15.460,22.483,37.943
16.316,21.627,37.943
17.187,20.756,37.943
18.070,19.873,37.943
18.964,18.979,37.943
19.866,18.077,37.943
20.773,17.170,37.943
21.682,16.261,37.943
22.590,15.353,37.943
23.496,14.447,37.943
24.395,13.548,37.943
25.286,12.657,37.943
26.165,11.778,37.943
27.030,10.913,37.943
27.878,10.065,37.943
28.707,9.236,37.943
29.514,8.429,37.943
30.297,7.646,37.943
31.053,6.890,37.943
31.779,6.164,37.943
32.474,5.469,37.943
33.136,4.807,37.943
33.762,4.181,37.943
34.350,3.593,37.943
34.899,3.044,37.943
35.407,2.536,37.943
35.872,2.071,37.943
36.293,1.650,37.943
36.668,1.275,37.943
36.997,0.946,37.943
37.278,0.665,37.943
37.510,0.433,37.943
37.694,0.250,37.943
37.827,0.116,37.943
37.910,0.033,37.943
37.943,0.001,37.943
37.925,0.019,37.943
37.856,0.087,37.943
37.737,0.206,37.943
37.568,0.375,37.943
37.350,0.594,37.943
37.082,0.861,37.943
36.767,1.176,37.943
36.405,1.538,37.943
35.997,1.946,37.943
35.544,2.399,37.943
35.049,2.894,37.943
34.511,3.432,37.943
33.934,4.009,37.943
33.319,4.624,37.943
32.667,5.276,37.943
31.982,5.962,37.943
31.264,6.680,37.943
30.516,7.427,37.943
29.741,8.202,37.943
28.941,9.003,37.943
28.118,9.826,37.943
27.275,10.669,37.943
26.414,11.529,37.943
25.539,12.405,37.943
24.651,13.292,37.943
23.754,14.190,37.943
22.850,15.093,37.943
21.942,16.001,37.943
21.033,16.910,37.943
20.125,17.818,37.943
19.222,18.721,37.943
18.325,19.618,37.943
17.438,20.505,37.943
16.563,21.380,37.943
15.703,22.240,37.943
14.860,23.083,37.943
14.037,23.907,37.943
13.235,24.708,37.943
12.457,25.486,37.943
11.706,26.238,37.943
10.982,26.961,37.943
10.288,27.655,37.943
9.626,28.317,37.943
8.997,28.947,37.943
8.402,29.542,37.943
7.842,30.101,37.943
7.318,30.625,37.943
6.832,31.111,37.943
